FID,Match_addr,Addr_type,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,AddressLin,Latitude,Longitude,ADV_RES_RE,EKIP_VOUCH
172,"1900 Anacostia Dr SE, Washington, District of Columbia, 20020",StreetAddress,1900 Anacostia Dr SE,Washington,District of Columbia,20020,USA,-76.971149,38.878698,-76.971149,38.878698,"1900 Anacostia Drive S.E., Washington, DC 20020", National Park Service,Anacostia Park,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/anac/,202-472-3884,"1900 Anacostia Drive S.E., Washington, DC 20020",38.878698,-76.971149,No,
173,"25425, Harpers Ferry, West Virginia",Postal, ,Harpers Ferry,West Virginia,25425,USA,-77.785038,39.278886,-77.785038,39.278886,"PO Box 65, Harpers Ferry, WV 25425", National Park Service,Harpers Ferry National Historical Park,"Restrooms, Visitor Center, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/hafe/,304-535-6029,"PO Box 65, Harpers Ferry, WV 25425",39.278886,-77.785038,Yes,
174,170,Postal, , , ,170,NZL,174.286,-35.776701,174.286,-35.776701,"PO Box 170, Moose, WY 83012-0170", National Park Service,Grand Teton National Park,"Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Winter (November - February), Spring (March - May), Fall (September - October)",http://www.nps.gov/grte,307-739-3300,"PO Box 170, Moose, WY 83012-0170",-35.776701,174.286,Yes,
175, , , , , , , ,-110.687686,39.322831,0,0, , Bureau of Land Management,Cleveland-Lloyd Dinosaur Quarry,"Restrooms, Visitor Center, Environmental education facility, Day use areas, Trails",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/ut/st/en/fo/price/recreation/quarry.html,435-636-3600, ,39.322831,-110.687686,No, 
176,"101 Chicago Creek Rd, Idaho Springs, Colorado, 80452",StreetAddress,101 Chicago Creek Rd,Idaho Springs,Colorado,80452,USA,-105.521387,39.739932,-105.521387,39.739932,"101 Chicago Creek Rd, Idaho Springs, CO, 80452", U.S. Forest Service,Mount Evans National Forest,"Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.fed.us/wildflowers/regions/Rocky_Mountain/MtsGoliathEvans/index.shtml,303-567-3000,"101 Chicago Creek Rd, Idaho Springs, CO, 80452",39.739932,-105.521387,No,
177,"Aspen, Colorado",Locality, ,Aspen,Colorado, ,USA,-106.818179,39.19002,-106.818179,39.19002,"Aspen Ranger District, 806 W. Hallam , Aspen, CO, 81611", U.S. Forest Service,Maroon Bells Martha Moran & Aspen Center for Environmental Studies (ACES),"Restrooms, Visitor Center, Environmental education facility, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",https://www.aspennature.org/,970-925-3445,"Aspen Ranger District, 806 W. Hallam , Aspen, CO, 81611",39.19002,-106.818179,No,
178, , , , , , , ,0,0,0,0, , National Oceanic and Atmospheric Administration (NOAA),National Marine Sanctuary of American Samoa,"restrooms, visitor center, environmental education facility, access to public beaches and nearshore marine environment (a.k.a., day use areas)",no,"STEM program, History/SS/Cultural Heritage program, ocean swimming, self-guided ocean recreation","Staff interpreters, Volunteers","Winter, Spring, Summer, Fall",http://americansamoa.noaa.gov/about/ocean-center.html,684-633-6500, ,0,0,Tour Request Form, 
179,"Bluefin Cir, Oxnard, California, 93035",StreetName,Bluefin Cir,Oxnard,California,93035,USA,-119.227052,34.164651,-119.227052,34.164651,"3880 Bluefin Cir Oxnard, CA 93035", National Oceanic and Atmospheric Administration (NOAA),Channel Islands National Marine Sanctuary,"visitor center, access to public beaches and nearshore marine environment (a.k.a., day use areas)",yes,"ocean recreation via concessionaires (kayaking, snorkeling, whale watching with naturalists, etc.), and self-guided","Staff interpreters, Volunteers, Channel Islands Naturalist Corps","Spring, Summer, Fall",http://channelislands.noaa.gov/visit/welcome.html,805-966-7107,"3880 Bluefin Cir Oxnard, CA 93035",34.164651,-119.227052,Registration required for group educational programs and guided tours,
180, , , , , , , ,0,0,0,0, , National Oceanic and Atmospheric Administration (NOAA),Coastal Discovery Center at San Simeon Bay (Monterey Bay National_Marine Sanctuary),"restrooms, visitor center, environmental education facility, pier, access to beach and trails",no,"STEM program, History/SS/Cultural Heritage program","Staff interpreters, Volunteers","Spring, Summer, Fall",http://montereybay.noaa.gov/vc/cdc/welcome.html,805-927-6575, ,0,0,yes, 
181, , , , , , , ,-122.46711,37.80535,0,0, , National Oceanic and Atmospheric Administration (NOAA),Greater Farallones National Marine Sanctuary,"visitor center, environmental education facility, pier, access to public beaches and coastal areas (a.k.a., day use areas)",no,"Outdoor classroom, STEM program, ocean recreation (self-guided and via concessionaires)","Staff interpreters, Environmental Educators","Winter, Spring, Summer, Fall",http://farallones.noaa.gov/visit/,415-561-6622 x308, ,37.80535,-122.46711,Registration required for group educational programs, 
182,"Pacific Ave, Santa Cruz, California, 95060",StreetName,Pacific Ave,Santa Cruz,California,95060,USA,-122.024833,36.969497,-122.024833,36.969497,"35 Pacific Ave., Santa Cruz, CA, 95060", National Oceanic and Atmospheric Administration (NOAA),Sanctuary Exploration Center (Monterey Bay National_Marine Sanctuary),"restrooms, visitor center",no,STEM program,"Staff interpreters, volunteers","Winter, Spring, Summer, Fall",http://montereybay.noaa.gov/vc/sec/,831-421-9993,"35 Pacific Ave., Santa Cruz, CA, 95060",36.969497,-122.024833,Registration required for group educational programs,
183, , , , , , , ,-121.92488,36.80638,0,0, , National Oceanic and Atmospheric Administration (NOAA),Monterey Bay National Marine Sanctuary,"visitor centers, access to public trails, beaches and coastal areas (a.k.a., day use areas)",yes,ocean recreation (self-guided and via concessionaires),Staff interpreters,"Winter, Spring, Summer, Fall",http://montereybay.noaa.gov/visitor/explore.html,831-647-4201, ,36.80638,-121.92488,Registration required for group educational programs at visitor centers, 
184,"818 Kitts Hummock Rd, Dover, Delaware, 19901",PointAddress,818 Kitts Hummock Rd,Dover,Delaware,19901,USA,-75.444979,39.103283,-75.446411,39.10077,"818 Kitts Hummock Road, Dover, DE, 19901", National Oceanic and Atmospheric Administration (NOAA),Delaware National Estuarine Research Reserve,"restrooms, visitor center, environmental education facility, exhibit hall, outdoor classroom, boats, access to trails and coastal areas (a.k.a., day use areas)",yes,"outdoor classroom, STEM program","Staff interpreters, volunteers, Education Coordinator","Spring, Fall",http://www.dnrec.delaware.gov/coastal/DNERR/Documents/2013%20School%20Opportunities.pdf,302-739-6377,"818 Kitts Hummock Road, Dover, DE, 19901",39.103283,-75.444979,Registration required for group educational programs,
185,"35 E Quay Rd, Key West, Florida, 33040",StreetAddress,35 E Quay Rd,Key West,Florida,33040,USA,-81.807364,24.550222,-81.807364,24.550222,"35 East Quay Road, Key West ,  FL, 33040", National Oceanic and Atmospheric Administration (NOAA),Florida Keys National Marine Sanctuary,"restrooms, visitor center, access to public beaches and nearshore marine environment (a.k.a., day use areas), offshore mooring bouys (a.k.a., special use areas)",no,"STEM, geocaching, ocean recreation (self-guided and via concessionaires)","Staff interpreters, volunteers, docents","Winter, Spring, Summer, Fall",http://floridakeys.noaa.gov/visitor_information/,305-809-4700,"35 East Quay Road, Key West ,  FL, 33040",24.550222,-81.807364,Call ahead for group visits to the Eco-Discovery Center,
186,"505 Guana River Rd, Ponte Vedra, Florida, 32082",StreetAddress,505 Guana River Rd,Ponte Vedra,Florida,32082,USA,-81.329811,30.0228,-81.329811,30.0228,"505 Guana River Road, Ponte Vedra, FL, 32082", National Oceanic and Atmospheric Administration (NOAA),"Guana Tolomato Matanzas National Estuarine Research Reserve, Environmental Education Center","restrooms, environmental education facility, amphitheater, exhibit hall, access to trails, lakes and coastal areas (a.k.a., day use areas)",yes,"outdoor classroom, STEM program","Staff interpreters, volunteers, Education Coordinator, Environmental Educators","Fall, Winter, Spring, Summer",http://www.gtmnerr.org,904-823-4509,"505 Guana River Road, Ponte Vedra, FL, 32082",30.0228,-81.329811,Registration required for educational programs,
187,"726 S Kihei Rd, Kihei, Hawaii, 96753",PointAddress,726 S Kihei Rd,Kihei,Hawaii,96753,USA,-156.458349,20.764408,-156.458881,20.76425,"726 South Kihei Road, Kihei, Hawai'i, 96753", National Oceanic and Atmospheric Administration (NOAA),Hawaiian Islands Humpback Whale National Marine Sanctuary,"restrooms, visitor center,  traditional fishpond , access to public beaches and nearshore marine environment (a.k.a., day use areas)",no,"Citizen science program (Sanctuary Ocean Count), whale watching (from land or sea), ocean recreation (self-guided and via concessionaires)",Staff interpreters,"Winter, Spring, Summer, Fall",http://hawaiihumpbackwhale.noaa.gov/explore/,808-879-2818,"726 South Kihei Road, Kihei, Hawai'i, 96753",20.764408,-156.458349,no,
188,"76 Kamehameha Ave, Hilo, Hawaii, 96720",StreetAddress,76 Kamehameha Ave,Hilo,Hawaii,96720,USA,-155.086916,19.726819,-155.086916,19.726819,"76 Kamehameha Avenue, Hilo, HI, 96720", National Oceanic and Atmospheric Administration (NOAA),Mokup_papa Discovery Center (Papah_naumoku_kea Marine National Monument),"bathrooms, visitor center",yes,"STEM, Cultural Heritage","Staff interpreters, docents","Winter, Spring, Summer, Fall",http://www.papahanaumokuakea.gov/education/center.html,808-933-8185,"76 Kamehameha Avenue, Hilo, HI, 96720",19.726819,-155.086916,Registration required for group educational programs,
189,"175 Edward Foster Rd, Scituate, Massachusetts, 02066",PointAddress,175 Edward Foster Rd,Scituate,Massachusetts,2066,USA,-70.716248,42.199014,-70.716991,42.19892,"175 Edward Foster Road, Scituate, MA, 02066", National Oceanic and Atmospheric Administration (NOAA),Stellwagen Bank National_Marine Sanctuary,"access to offshore and coastal marine environments (a.k.a., day use areas), boathouse/meeting space",no,"whale watching (via concessionaires), STEM program, Cultural maritime heritage program","Staff interpreters, volunteers","Spring, Summer, Fall",http://stellwagen.noaa.gov/visit/,781-545-8026 ext. 204,"175 Edward Foster Road, Scituate, MA, 02066",42.199014,-70.716248,yes,
190,"131 Waquoit Hwy, Ea Falmouth, Massachusetts, 02536",PointAddress,131 Waquoit Hwy,Ea Falmouth,Massachusetts,2536,USA,-70.526675,41.581811,-70.525771,41.58123,"131 Waquoit Highway, Waquoit (East Falmouth), MA, 02536", National Oceanic and Atmospheric Administration (NOAA),Waquoit Bay National Estuarine Research Reserve,"restrooms, visitor center, environmental education facility, day use areas, access to trails and coastal areas",yes,"Staff-led field trips, STEM program, outdoor classroom, self-guided outdoor recreation","Staff interpreters, volunteers, Environmental educators","Spring, Summer, Fall",http://www.waquoitbayreserve.org/visit-the-reserve/,508-457-0495,"131 Waquoit Highway, Waquoit (East Falmouth), MA, 02536",41.581811,-70.526675,yes,
191,"342 Laudholm Farm Rd, Wells, Maine, 04090",StreetAddress,342 Laudholm Farm Rd,Wells,Maine,4090,USA,-70.552647,43.337252,-70.552647,43.337252,"342 Laudholm Farm Rd, Wells, ME, 04090", National Oceanic and Atmospheric Administration (NOAA),Wells National Estuarine Research Reserve,"restrooms, visitor center, environmental education facility, access to trails and coastal areas (a.k.a., day use areas)",yes,"guided hikes, outdoor classroom, STEM program","Staff interpreters, volunteers, Environmental Educators","Fall, Spring",http://www.wellsreserve.org/education/,207-646-1555 x110,"342 Laudholm Farm Rd, Wells, ME, 04090",43.337252,-70.552647,yes,
192,"500 W Fletcher St, Alpena, Michigan, 49707",StreetAddress,500 W Fletcher St,Alpena,Michigan,49707,USA,-83.433183,45.067474,-83.433183,45.067474,"500 W. Fletcher Street, Alpena ,  MI, 49707", National Oceanic and Atmospheric Administration (NOAA),Thunder Bay National Marine Sanctuary and Great Lakes Maritime Heritage Center,"restrooms, visitor center, environmental education facility, access to trails and lake (a.k.a., day use areas), offshore mooring bouys (a.k.a., special use areas)",yes,"Outdoor classrom, STEM programs, Cultural Heritage Programs, Glass-bottom boat tours (via concessionaire), shipwreck viewing (from beach, when paddling or snorkeling)","Staff interpreters, volunteers, Environmental educators","Spring, Summer, Fall",http://thunderbay.noaa.gov/visit,989-356-8805,"500 W. Fletcher Street, Alpena ,  MI, 49707",45.067474,-83.433183,Registration required for group educational programs,
193,"6005 Bayou Heron Rd, Moss Point, Mississippi, 39562",PointAddress,6005 Bayou Heron Rd,Moss Point,Mississippi,39562,USA,-88.427252,30.42958,-88.428331,30.42922,"6005 Bayou Heron Road, Moss Point, MS, 39562", National Oceanic and Atmospheric Administration (NOAA),Grand Bay National Estuarine Research Reserve and National Wildlife Refuge,"restrooms, visitor center, environmental education facility, amphitheater, fishing pier, boat launch, access to trails and coastal areas (a.k.a., day use areas)",yes,"outdoor classroom, STEM program, outdoor recreation (group kayaking and boating opportunties)","Staff interpreters, volunteers, Education coordinator","Spring, Fall",http://grandbaynerr.org,228-475-7047,"6005 Bayou Heron Road, Moss Point, MS, 39562",30.42958,-88.427252,Registration required for group educational programs,
194,"89 Depot Rd, Greenland, New Hampshire, 03840",PointAddress,89 Depot Rd,Greenland,New Hampshire,3840,USA,-70.896565,43.054638,-70.897741,43.05543,"89 Depot Road, Greenland, NH, 03840", National Oceanic and Atmospheric Administration (NOAA),Great Bay National Estuarine Research Reserve (GBNERR),"restrooms, visitor center, access to trails and the estuary (a.k.a., day use areas)",yes,"STEM program, Cultural heritage program","Staff interpreters, volunteers","Spring, Fall",http://www.greatbay.org,603-778-0015,"89 Depot Road, Greenland, NH, 03840",43.054638,-70.896565,Registration required for group educational programs,
195,"61907 Seven Devils Rd, Coos Bay, Oregon, 97420",PointAddress,61907 Seven Devils Rd,Coos Bay,Oregon,97420,USA,-124.337878,43.295424,-124.334421,43.29627,"61907 Seven Devils Road,  Charleston, OR  97420", National Oceanic and Atmospheric Administration (NOAA),South Slough National Estuarine Research Reserve,"restrooms, visitor center, environmental education facility, hiking and paddling trails, access to waterways and estuary shoreline (a.k.a., day use areas)",yes,"outdoor classroom, staff-led hikes, STEM program","Staff interpreters, educators","Winter, Spring, Summer, Fall",http://www.southsloughestuary.org,541-888- 5558 x27,"61907 Seven Devils Road,  Charleston, OR  97420",43.295424,-124.337878,Registration required for educational programs,
196,"98362, Port Angeles, Washington",Postal, ,Port Angeles,Washington,98362,USA,-123.389077,48.097718,-123.389077,48.097718,"115 East Railroad, Port Angeles, WA  98362", National Oceanic and Atmospheric Administration (NOAA),Olympic Coast Discovery Center (Olympic Coast National Marine Sanctuary),"restrooms, visitor center",no,STEM program,"staff interpreters, volunteers",Summer,http://olympiccoast.noaa.gov/visitor/discoverycenter/discoverycenter.html,360-457-6622,"115 East Railroad, Port Angeles, WA  98362",48.097718,-123.389077,Registration required for educational programs,
197, , , , , , , ,-124.415087,47.704593,0,0, , National Oceanic and Atmospheric Administration (NOAA),Olympic Coast National Marine Sanctuary,"access to trails and beaches (a.k.a., day use areas)",no,"self-guided ocean recreation (whale watching, tide-pooling)",staff interpreters,"Winter, Spring, Summer, Fall",http://olympiccoast.noaa.gov/visitor,360-457-6622, ,47.704593,-124.415087,Registration required for educational programs, 
198, , , , , , , ,-92.063858,46.722355,0,0, , National Oceanic and Atmospheric Administration (NOAA),Lake Superior National Estuarine Research Reserve,"trails, access to estuary, waterways, and coastal areas (a.k.a., day use areas)",yes,"outdoor classroom, STEM program, History/SS/Cultural Heritage program",staff interpreters,"spring, fall",http://lsnerr.uwex.edu/,715-392-3141, ,46.722355,-92.063858,Registration required for educational programs, 
199,"Visitor Center Rd, Decatur, Alabama, 35601",StreetName,Visitor Center Rd,Decatur,Alabama,35601,USA,-86.946982,34.548684,-86.946982,34.548684,"3121 Visitor Center Road, Decatur, AL, 35603", U.S. Fish and Wildlife Service,Wheeler NWR,"Visitor center, auto driving route, trails, bicycling tour route",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photgraphy, hiking, bicycling, events","Y, w/park rangers, partners and volunteers","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Wheeler/,256-350-6639,"3121 Visitor Center Road, Decatur, AL, 35603",34.548684,-86.946982,No, 
200,"95 Sterling Hwy, Homer, Alaska, 99603",PointAddress,95 Sterling Hwy,Homer,Alaska,99603,USA,-151.541077,59.641642,-151.539741,59.64078,"95 Sterling Highway # 1, Homer, Alaska,   99603__", U.S. Fish and Wildlife Service,Alaska Maritime NWR,"Visitor Center, restrooms",Y,"education programs, visitor center, exhibits", ,March - November,http://www.fws.gov/refuge/Alaska_Maritime/visit/visitor_center.html,907-235-6546,"95 Sterling Highway # 1, Homer, Alaska,   99603__",59.641642,-151.541077,No, 
201,"Soldotna, Alaska",Locality, ,Soldotna,Alaska, ,USA,-151.089739,60.50043,-151.089739,60.50043,"P.O. Box 2139; Ski Hill Rd., Soldotna, AK, 99669", U.S. Fish and Wildlife Service,Kenai NWR,"visitor/education center, trails, outdoor recreation, restrooms",Y,"outdoor recreation, education programs, citizen science, volunteer stewardship programs","Y, with volunteers and partner organizations","Peak periods May through September, although activities are offered throughout the year",http://www.fws.gov/refuge/kenai/,907-260-2820,"P.O. Box 2139; Ski Hill Rd., Soldotna, AK, 99669",60.50043,-151.089739,No, 
202,"5531 W US 82, Crossett, Arkansas, 71635",StreetAddress,5531 W US 82,Crossett,Arkansas,71635,USA,-92.05715,33.148431,-92.05715,33.148431,"5531 US-82, Crossett, AR, 71635", U.S. Fish and Wildlife Service,Felsenthal NWR,Visitor Center w/exhibits,Y,"EE programs, exhibits; Sept. outdoor event/festival; annual clean-up event; limited hiking/observation","Y, with staff, volunteers and partner organizations","Peak periods September through May, although activities are offered throughout the year",http://www.fws.gov/refuge/Felsenthal/,(870) 364-3167,"5531 US-82, Crossett, AR, 71635",33.148431,-92.05715,No, 
203,"Marshlands Rd, Fremont, California, 94555",StreetName,Marshlands Rd,Fremont,California,94555,USA,-122.093261,37.529784,-122.093261,37.529784,"1 Marshlands Rd., Fremont, CA, 94555", U.S. Fish and Wildlife Service,Don Edwards San Francisco Bay NWR,"Visitor Center, trails, outdoor classrooms",Y,education/interpretive programs, ,Year round,http://www.fws.gov/refuge/don_edwards_san_francisco_bay/,510-792-0222,"1 Marshlands Rd., Fremont, CA, 94555",37.529784,-122.093261,No, 
204,"1080 Gunpowder Point Dr, Chula Vista, California, 91910",StreetAddress,1080 Gunpowder Point Dr,Chula Vista,California,91910,USA,-117.110887,32.639998,-117.110887,32.639998,"1080 Gunpowder Point Drive, Chula Vista, CA, 91910", U.S. Fish and Wildlife Service,San Diego Bay NWR,"Visitor center, education center, trails, observation platforms",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, w/park rangers, partners and volunteers","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/san_diego_bay/,(619) 476-9150,"1080 Gunpowder Point Drive, Chula Vista, CA, 91910",32.639998,-117.110887,No, 
205,"Wolfsen Rd, Los Banos, California, 93635",StreetName,Wolfsen Rd,Los Banos,California,93635,USA,-120.812695,37.159191,-120.812695,37.159191,"7376 S. Wolfsen Road, Los Banos, CA, 93635", U.S. Fish and Wildlife Service,San Luis NWR,"Visitor center, education center, trails, auto tour route, observation platforms",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, w/park rangers and volunteers","Prime months September - June, but can visit year round",http://www.fws.gov/Refuge/San_Luis/,209/826-3508,"7376 S. Wolfsen Road, Los Banos, CA, 93635",37.159191,-120.812695,No, 
206,"Gateway Rd, Commerce City, Colorado, 80022",StreetName,Gateway Rd,Commerce City,Colorado,80022,USA,-104.891357,39.811692,-104.891357,39.811692,"6550 Gateway Road, Commerce City, CO, 80022", U.S. Fish and Wildlife Service,Rocky Mountain Arsenal NWR,"Visitor center, education center, trails, driving route, fishing areas",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/rocky_mountain_arsenal/,303-289-0930,"6550 Gateway Road, Commerce City, CO, 80022",39.811692,-104.891357,No,
207,"11978 Turkle Pond Rd, Milton, Delaware, 19968",StreetAddress,11978 Turkle Pond Rd,Milton,Delaware,19968,USA,-75.253129,38.813505,-75.253129,38.813505,"11978 Turkle Pond Rd, Milton, DE, 19968", U.S. Fish and Wildlife Service,Prime Hook NWR,"Visitor center, trails, driving route",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Prime_Hook/,302) 684-8419,"11978 Turkle Pond Rd, Milton, DE, 19968",38.813505,-75.253129,No,
208,"1 Wildlife Dr, Sanibel, Florida, 33957",StreetAddress,1 Wildlife Dr,Sanibel,Florida,33957,USA,-82.153047,26.470669,-82.153047,26.470669,"1 Wildlife Drive, Sanibel, FL, 33957", U.S. Fish and Wildlife Service,J.N. Ding Darling NWR,"Visitor and Education Center, trails, auto tour route",Y,"education, exhibits, volunteer stewardship activities, recreation,","Y, with staff, volunteers and partner organizations",Year Round,http://www.fws.gov/refuge/jn_ding_darling/,239-472-1100,"1 Wildlife Drive, Sanibel, FL, 33957",26.470669,-82.153047,No,
209,"32355, Saint Marks, Florida",Postal, ,Saint Marks,Florida,32355,USA,-84.204818,30.15812,-84.204818,30.15812,"1255 Lighthouse Rd, St Marks, FL, 32355", U.S. Fish and Wildlife Service,St Marks NWR,"trails, education center, driving route, lighthouse, visitor center",Y,"education programs, exhibits,   recreation, photography programs","Y, with education specialists, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/st_marks/,(850) 925-6121,"1255 Lighthouse Rd, St Marks, FL, 32355",30.15812,-84.204818,No,
210,"2700 Suwannee Canal Rd, Folkston, Georgia, 31537",PointAddress,2700 Suwannee Canal Rd,Folkston,Georgia,31537,USA,-82.116802,30.739348,-82.116841,30.74,"2700 Suwannee Canal Road, Folkston, GA, 31537", U.S. Fish and Wildlife Service,Okefenokee NWR,"visitor center, trails, driving route",Y,"education program, exhibits, recreation, tours","Y, with staff, volunteers and partner organizations","Prime periods: spring and fall, but can visit year round",http://www.fws.gov/refuge/okefenokee/,(912) 496-7836,"2700 Suwannee Canal Road, Folkston, GA, 31537",30.739348,-82.116802,No,
211,"96754, Kilauea, Hawaii",Postal, ,Kilauea,Hawaii,96754,USA,-159.406688,22.20447,-159.406688,22.20447,"P.O. Box 1128, Hawaii 96754", U.S. Fish and Wildlife Service,Kilauea Point NWR,"lighthouse, visitor center, short trails, overlook",Y,"education, exhibits, limited recreation, whale and bird watching","Y, with volunteers and partner organizations",fall through spring,http://www.fws.gov/refuge/kilauea_point/,(808)828-1413,"P.O. Box 1128, Hawaii 96754",22.20447,-159.406688,No,
212,"Upper Embankment Rd, Nampa, Idaho, 83686",StreetName,Upper Embankment Rd,Nampa,Idaho,83686,USA,-116.66204,43.561808,-116.66204,43.561808,"Upper Embankment Rd, Nampa, ID, 83686", U.S. Fish and Wildlife Service,Deer Flat NWR,"visitor center, education center, trails, auto tour route",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/deerflat/,(208) 467-9278,"Upper Embankment Rd, Nampa, ID, 83686",43.561808,-116.66204,No,
213,"287 Westside Rd, Bonners Ferry, Idaho, 83805",StreetAddress,287 Westside Rd,Bonners Ferry,Idaho,83805,USA,-116.415292,48.706669,-116.415292,48.706669,"287 Westside Rd., Bonners Ferry, ID, 83805", U.S. Fish and Wildlife Service,Kootenai NWR,"education center, trails, auto tour route",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/kootenai/,(208) 267-3888,"287 Westside Rd., Bonners Ferry, ID, 83805",48.706669,-116.415292,No,
214,"8588 Route 148, Marion, Illinois, 62959",PointAddress,8588 Route 148,Marion,Illinois,62959,USA,-89.021607,37.719621,-89.021091,37.71955,"8588 Route 148, Marion, IL, 62959", U.S. Fish and Wildlife Service,Crab Orchard NWR,"Visitor center, education center, trails, driving route",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/crab_orchard/,618-997-3344,"8588 Route 148, Marion, IL, 62959",37.719621,-89.021607,No,
215,"47274, Seymour, Indiana",Postal, ,Seymour,Indiana,47274,USA,-85.89725,38.961397,-85.89725,38.961397,"12985 E. U.S. Hwy 50, Seymour, IN, 47274", U.S. Fish and Wildlife Service,Muscatatuck NWR,"Visitor center, trails, auto tour route, observation platforms",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/muscatatuck/,812-522-4352,"12985 E. U.S. Hwy 50, Seymour, IN, 47274",38.961397,-85.89725,No,
216,"1434 316th Ln, Missouri Valley, Iowa, 51555",StreetAddress,1434 316th Ln,Missouri Valley,Iowa,51555,USA,-96.028382,41.548594,-96.028382,41.548594,"1434 316th Lane, Missouri Valley, IA , 51555", U.S. Fish and Wildlife Service,Desoto NWR,"visitor center, trails,  auto and bicycle tour route",Y,"outdoor recreation, education programs,exhibits; trails, events,  historic steamboat artifact collection","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Desoto/,712/388-4800,"1434 316th Lane, Missouri Valley, IA , 51555",41.548594,-96.028382,No,
217,"9981 Pacific St, Prairie City, Iowa, 50228",StreetAddress,9981 Pacific St,Prairie City,Iowa,50228,USA,-93.271715,41.555232,-93.271715,41.555232,"9981 Pacific St, Prairie City, IA, 50228", U.S. Fish and Wildlife Service,Neal Smith NWR,"visitor/education center, trails,  auto tour route",Y,"education programs, exhibits,    recreation, citizen science","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Neal_Smith/,(515) 994-3400,"9981 Pacific St, Prairie City, IA, 50228",41.555232,-93.271715,No,
218,"6232 E 29th St N, Wichita, Kansas, 67220",StreetAddress,6232 E 29th St N,Wichita,Kansas,67220,USA,-97.264241,37.737609,-97.264241,37.737609,"6232 E 29th Street North, Wichita, KS, 67220", U.S. Fish and Wildlife Service,Great Plains Nature Center,"visitor/education center, trails,",Y,"education programs, exhibits,  limited  recreation","Y, with trained education specialists, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.gpnc.org/,316-683-5499,"6232 E 29th Street North, Wichita, KS, 67220",37.737609,-97.264241,No,
